"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Import Google Doc**

Downloads a Google Doc as a PDF and processes it.
If the document is private, it uses the user's authorized Google Drive credentials.","159","POST /api/documents/import/google","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Retrieve comprehensive statistics for a tenant's dashboard using raw SQL.","28","GET /api/tenants/dashboard","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Retrieve security and activity audit logs for the current tenant with search and pagination.","24","GET /api/logs/audit","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[GET-/api/billing/subscription]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve all roles applicable to the current tenant with pagination and search.
Includes both system-wide roles (tenant_id IS NULL) and tenant-specific custom roles.","57","GET /api/roles","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","8","test_endpoint_smoke[POST-/api/reports/analyze]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","14","test_endpoint_smoke[GET-/api/documents]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","11","test_endpoint_smoke[GET-/api/admin/billing/failed]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Update category details.","76","PATCH /api/categories/{category_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","12","test_openapi_endpoints[/api/notifications/read-all-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[DELETE-/api/industries/{industry_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","38","test_industries_list","e2e","2026-04-30","passed","2026-04-30","","test_api_v3_comprehensive","",""
"Exchanges the authorization code for tokens and stores them securely.","41","POST /api/integrations/google/callback","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","9","test_openapi_endpoints[/api/industries/{industry_id}-delete]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"**AI Industry & Category Detection**

Analyzes document text and automatically maps it to the best matching Industry, Category, and Subcategory
based on the tenant's configured hierarchy. Returns UUIDs and confidence levels.","142","POST /api/llm/detect-industry","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","11","test_endpoint_smoke[GET-/api/templates/my/]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","15","test_endpoint_smoke[PATCH-/api/folders/{folder_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[PATCH-/api/categories/{category_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","10","test_openapi_endpoints[/api/admin/metrics-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Retrieve all public document generation templates with search and pagination.","22","GET /api/templates/public/","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[GET-/api/billing/invoices]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","760","test_endpoint_smoke[POST-/api/templates/]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","12","test_openapi_endpoints[/api/folders-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","16","test_endpoint_smoke[GET-/api/logs/usage]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"List all supported industries and their associated categories with optional search.","28","GET /api/industries","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","26","test_openapi_endpoints[/api/llm/detect-industry-post]","e2e","2026-04-30","failed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","8","test_endpoint_smoke[GET-/api/integrations/google/auth-url]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[DELETE-/api/subcategories/{subcategory_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","11","test_endpoint_smoke[POST-/api/notifications/{notification_id}/read]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","13","test_openapi_endpoints[/api/folders-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","8","test_endpoint_smoke[DELETE-/api/plans/{plan_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"No description provided","17","POST /api/billing/checkout","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Delete a category.","35","DELETE /api/categories/{category_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","8","test_endpoint_smoke[DELETE-/api/categories/{category_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve all versions of a report.","51","GET /api/reports/{report_id}/versions","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"No description provided","20","DELETE /api/templates/{template_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Deactivate a subscription plan (sets is_active to FALSE).","32","DELETE /api/plans/{plan_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Synchronizes Google Drive files with the platform.
Automatically downloads and processes new or updated files.","40","POST /api/integrations/google/sync","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","18","test_endpoint_smoke[GET-/api/documents/{document_id}/content]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"**Update Document Content**

Creates a new version of the document with the updated content. 
Maintains a full audit trail of changes.","103","PATCH /api/documents/{document_id}/content","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Analyze a document using a template and LLM.","53","POST /api/reports/analyze","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","1","test_openapi_endpoints[/api/documents/upload-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"No description provided","79","PATCH /api/templates/{template_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","11","test_openapi_endpoints[/api/logs/usage-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","6","test_endpoint_smoke[POST-/api/categories]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"**Upload and Process Document**

Uploads a physical file (PDF, Image, Office) to secure storage and triggers an **AI-powered background processing pipeline**.
- **Step 1:** Validate file and duplicate check.
- **Step 2:** Upload to S3.
- **Step 3:** Trigger extraction, categorization, and RAG ingestion.
- **Returns:** 202 Accepted with document metadata. Check WebSocket or status endpoint for updates.","265","POST /api/documents/upload","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","10","test_openapi_endpoints[/api/roles-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"","14","test_openapi_endpoints[/api/folders/{folder_id}-patch]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"**Trigger Document Reprocessing**

Manually triggers the AI background pipeline for an existing document. 
Useful if extraction failed or if you want to apply updated AI models.","294","POST /api/documents/{document_id}/reprocess","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"AI Template Builder: Generates a complete professional template based on classification.","25","POST /api/templates/ai-builder","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Log a new metered usage event.","27","POST /api/logs/usage","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","23","test_usage_metrics","e2e","2026-04-30","passed","2026-04-30","","test_api_v3_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","15","test_endpoint_smoke[DELETE-/api/folders/{folder_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","6","test_openapi_endpoints[/api/tenants/register-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"","10","test_openapi_endpoints[/api/notifications/-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Delete a custom role.","52","DELETE /api/roles/{role_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","11","test_openapi_endpoints[/api/logs/audit-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","8","test_endpoint_smoke[POST-/api/billing/webhooks/paypal]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"No description provided","18","GET /api/users/me","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","17","test_openapi_endpoints[/api/metering/logs-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Retrieve notifications for the current user with status filters.","40","GET /api/notifications/","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Create a new industry.","22","POST /api/industries","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Create a test notification for the current user.","31","POST /api/notifications/test-notify","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","11","test_endpoint_smoke[DELETE-/api/notifications/{notification_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"","9","test_openapi_endpoints[/api/plans-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"","11","test_openapi_endpoints[/api/admin/billing/failed-get]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"Update a custom role for the current tenant.
System roles cannot be modified through this endpoint.","44","PATCH /api/roles/{role_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","11","test_endpoint_smoke[GET-/api/integrations/google/files]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","10","test_endpoint_smoke[GET-/api/documents/{document_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve comprehensive platform metrics using raw SQL.","22","GET /api/admin/metrics","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Retrieve payment and invoice history for the current tenant.","26","GET /api/billing/history","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","14","test_endpoint_smoke[GET-/api/admin/metrics]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Create a new document category within an industry.","54","POST /api/categories","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"Delete an industry.","20","DELETE /api/industries/{industry_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","7","test_endpoint_smoke[POST-/api/llm/chat/summarize]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Retrieve a specific category and its subcategories.","55","GET /api/categories/{category_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"","34","test_openapi_endpoints[/api/documents/manual-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"","27534","test_upload_and_status_flow","e2e","2026-04-30","passed","2026-04-30","","test_playwright_api","",""
"","10","test_openapi_endpoints[/api/notifications/test-notify-post]","e2e","2026-04-30","passed","2026-04-30","","test_all_openapi","",""
"**Delete Document**

Soft-deletes a document and its associated data.","49","DELETE /api/documents/{document_id}","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","8","test_endpoint_smoke[POST-/api/integrations/google/sync]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
"Manually record usage for a specific metric.","59","POST /api/metering/record","e2e","2026-04-30","passed","2026-04-30","","test_comprehensive","",""
"
Dynamically tests all endpoints from OpenAPI fetched via URL.
","12","test_endpoint_smoke[DELETE-/api/documents/{document_id}]","e2e","2026-04-30","passed","2026-04-30","","test_all_endpoints","",""
